action,dish,category,qty,revenue,price,food_cost,gm_pct,margin_total,klass,reason
HOLD-COST,Fruity Greek Yogurt,Desserts,34,6970.0,205,,,,,34 units but NO food cost — cost it before deciding
HOLD-COST,Roasted Vegetable Quinoa Salad,Veg Salads,19,6175.0,325,,,,,19 units but NO food cost — cost it before deciding
HOLD-COST,Four Boiled Egg,Healthy Breakfast,36,6020.0,167,,,,,36 units but NO food cost — cost it before deciding
HOLD-COST,Falafal Hummus Wrap,Healthy Wraps,16,4820.0,301,,,,,16 units but NO food cost — cost it before deciding
HOLD-COST,Abc Juice,Juices,24,3960.0,165,,,,,24 units but NO food cost — cost it before deciding
HOLD-COST,Fruity Sprout Salad,Veg Salads,14,3850.0,275,,,,,14 units but NO food cost — cost it before deciding
HOLD-COST,Healthy Tiramisu Box,Desserts,14,3570.0,255,,,,,14 units but NO food cost — cost it before deciding
HOLD-COST,Arrabbiata Pasta (Veg),Millets Pasta,13,3315.0,255,,,,,13 units but NO food cost — cost it before deciding
HOLD-COST,Ragi Dates Eggless Brownie (1) Pc,Desserts,22,3290.0,150,,,,,22 units but NO food cost — cost it before deciding
HOLD-COST,Hummus Pita With Falafel,Appetizers,9,3105.0,345,,,,,9 units but NO food cost — cost it before deciding
HOLD-COST,Mushroom & Caramelised Onion Sandwich,Healthy Sandwiches,8,2864.0,358,,,,,8 units but NO food cost — cost it before deciding
HOLD-COST,Egg Shakshuka,Healthy Breakfast,13,2847.0,219,,,,,13 units but NO food cost — cost it before deciding
HOLD-COST,Spinach & Corn Sandwich,Healthy Sandwiches,8,2250.0,281,,,,,8 units but NO food cost — cost it before deciding
HOLD-COST,Tuscan Chicken With Bread/rice,Non Veg Meals,5,2075.0,415,,,,,5 units but NO food cost — cost it before deciding
HOLD-COST,Grilled Chicken Salad,Non Veg Salads,4,1700.0,425,,,,,4 units but NO food cost — cost it before deciding
HOLD-COST,Pumpkin Soup,Soups,7,1505.0,215,,,,,7 units but NO food cost — cost it before deciding
HOLD-COST,Lemon Mint Ice Tea,Smoothies,7,1295.0,185,,,,,7 units but NO food cost — cost it before deciding
HOLD-COST,Beetroot Salad With Balsamic Dressing,Veg Salads,4,1140.0,285,,,,,4 units but NO food cost — cost it before deciding
HOLD-COST,Garlic Bread,Sides & Munchies,4,916.0,229,,,,,4 units but NO food cost — cost it before deciding
CUT,Diet Coke Can,Cold Drinks,43,2795.0,65,,,,,off-brand: soft drinks on a clinical nutrition menu
CUT,Veg Quesadilla,Cheesy Quesadillas,8,2632.0,329,,,,,"off-brand / non-core, negligible volume"
CUT,Avocado Toast With Poached Boiled Egg (2 Egg),Healthy Breakfast,5,2625.0,525,87.0,83.4,2190,DOG,"dog: 5 units, Rs 2,190 margin"
CUT,Cheese Omelette (2 Egg),Healthy Breakfast,8,2304.0,288,26.57,90.8,2091,DOG,"dog: 8 units, Rs 2,091 margin"
CUT,Watermelon Mint Cooler,Coolers,14,2170.0,155,,,,,"off-brand / non-core, negligible volume"
CUT,Antioxidant Detox,Smoothies,6,2130.0,355,53.0,85.1,1812,DOG,"dog: 6 units, Rs 1,812 margin"
CUT,Blue Berry Smoothie,Smoothies,6,2094.0,349,72.5,79.2,1659,DOG,"dog: 6 units, Rs 1,659 margin"
CUT,Falafal Pita Pockets With Hummus,Pita Pockets,6,1926.0,321,36.0,88.8,1710,DOG,"dog: 6 units, Rs 1,710 margin"
CUT,Cheese Tomato Omelette (2 Egg),Healthy Breakfast,8,1912.0,239,27.0,88.7,1696,DOG,"dog: 8 units, Rs 1,696 margin"
CUT,Hydrating Watermelon Juice,Juices,7,1646.0,235,10.0,95.7,1576,DOG,"dog: 7 units, Rs 1,576 margin"
CUT,Avocado Toast With Sunny Side Up (2 Egg),Healthy Breakfast,3,1575.0,525,87.0,83.4,1314,DOG,only 3 units in 61 days
CUT,Aam Panna,Coolers,7,1533.0,219,,,,,"off-brand / non-core, negligible volume"
CUT,Exotic Egg Bhurji (2 Egg),Healthy Breakfast,5,1275.0,255,23.0,91.0,1160,DOG,"dog: 5 units, Rs 1,160 margin"
CUT,Chilli Garlic Chicken Fried Rice,WTC,6,1254.0,209,,,,,off-brand: Chinese SKUs from another kitchen brand
CUT,Crispy Peri Peri Chicken Burrito Wrap,Chicken Burrito Wraps,3,1209.0,403,71.65,82.2,994,DOG,only 3 units in 61 days
CUT,Pesto Pasta (Veg),Millets Pasta,4,1180.0,295,71.78,75.7,893,DOG,"dog: 4 units, Rs 893 margin"
CUT,Veg Caesar Story Salad,Veg Salads,4,1180.0,295,41.2,86.0,1015,DOG,"dog: 4 units, Rs 1,015 margin"
CUT,Marry Me Mushroom With Bread / Rice,Veg Meals,3,1077.0,359,,,,,only 3 units in 61 days
CUT,Alfredo Pasta (Chicken),Millets Pasta,3,1035.0,345,72.19,79.1,818,DOG,only 3 units in 61 days
CUT,Crispy Peri Peri Chicken Rice Bowl,Chicken Mexican Rice Bowls,2,1028.0,514,69.15,86.5,890,DOG,only 2 units in 61 days
CUT,Crispy Peri Peri Potato Burrito Wrap,Veg Burrito Wraps,3,899.0,300,71.65,76.1,684,DOG,only 3 units in 61 days
CUT,Oats Banana Pancakes 4pc,Healthy Breakfast,3,885.0,295,,,,,only 3 units in 61 days
CUT,Cheesy Delight Nachos,Sides & Munchies,3,885.0,295,40.0,86.4,765,DOG,only 3 units in 61 days
CUT,Crispy Peri Peri Mushroom Burrito Wrap,Veg Burrito Wraps,2,860.0,430,58.4,86.4,743,DOG,only 2 units in 61 days
CUT,Peanut Butter Banana Smoothie,Smoothies,2,790.0,395,,,,,only 2 units in 61 days
CUT,Plain Omelette (2 Egg),Healthy Breakfast,4,786.0,196,26.33,86.6,681,DOG,"dog: 4 units, Rs 681 margin"
CUT,Crispy Peri Peri Potato Rice Bowl,Veg Mexican Rice Bowls,2,778.0,389,70.86,81.8,636,DOG,only 2 units in 61 days
CUT,Lichi Cooler,Coolers,3,765.0,255,,,,,"off-brand / non-core, negligible volume"
CUT,Peri Peri Paneer Rice Bowl,Veg Mexican Rice Bowls,2,578.0,289,52.09,82.0,474,DOG,only 2 units in 61 days
CUT,Chicken Fried Rice 750,WTC,2,518.0,259,,,,,off-brand: Chinese SKUs from another kitchen brand
CUT,Veg Pan Fry Noodles,WTC,2,515.0,258,,,,,off-brand: Chinese SKUs from another kitchen brand
CUT,Guava Chilli Cooler,Coolers,2,510.0,255,,,,,"off-brand / non-core, negligible volume"
CUT,Zero Calorie Mint Mojito,Juices,3,507.0,169,23.75,85.9,436,DOG,only 3 units in 61 days
CUT,Mutton Paya,WTC,2,500.0,250,,,,,off-brand: Chinese SKUs from another kitchen brand
CUT,Manchow Soup (Veg),Soups,2,438.0,219,40.0,81.7,358,DOG,only 2 units in 61 days
CUT,Kurkure Veg Momos,WTC,2,430.0,215,,,,,off-brand: Chinese SKUs from another kitchen brand
CUT,Chia Lemonade Detox,Smoothies,2,430.0,215,,,,,only 2 units in 61 days
CUT,Egg Chicken Noodle,WTC,2,418.0,209,,,,,off-brand: Chinese SKUs from another kitchen brand
CUT,Chicken Hakka Noodles,WTC,2,398.0,199,,,,,off-brand: Chinese SKUs from another kitchen brand
CUT,Egg Fried Rice,WTC,2,398.0,199,,,,,off-brand: Chinese SKUs from another kitchen brand
CUT,Thums Up Can,Cold Drinks,6,390.0,65,,,,,off-brand: soft drinks on a clinical nutrition menu
CUT,Non Veg Quesadilla,Cheesy Quesadillas,1,385.0,385,,,,,"off-brand / non-core, negligible volume"
CUT,Gond Ka Tira Cooler,Coolers,1,339.0,339,,,,,"off-brand / non-core, negligible volume"
CUT,Coke Can,Cold Drinks,5,325.0,65,,,,,off-brand: soft drinks on a clinical nutrition menu
CUT,Manchow Soup (Chicken),Soups,1,305.0,305,40.0,86.9,265,DOG,only 1 units in 61 days
CUT,Veg Manchurian Gravy,WTC,1,299.0,299,,,,,off-brand: Chinese SKUs from another kitchen brand
CUT,Veg Manchurian Dry,WTC,1,289.0,289,,,,,off-brand: Chinese SKUs from another kitchen brand
CUT,Kiwi Mint Cooler,Coolers,1,255.0,255,,,,,"off-brand / non-core, negligible volume"
CUT,Chilli Garlic Veg Fried Rice,WTC,1,235.0,235,,,,,off-brand: Chinese SKUs from another kitchen brand
CUT,Broccoli Almond Soup,Soups,1,229.0,229,27.08,88.2,202,DOG,only 1 units in 61 days
CUT,Chicken Fried Rice 500,WTC,1,209.0,209,,,,,off-brand: Chinese SKUs from another kitchen brand
CUT,Chilli Garlic Chicken Noodles,WTC,1,199.0,199,,,,,off-brand: Chinese SKUs from another kitchen brand
CUT,Chicken Butter Garlic Noodles,WTC,1,199.0,199,,,,,off-brand: Chinese SKUs from another kitchen brand
CUT,Tomato Basil Omelette (2 Egg),Healthy Breakfast,1,195.0,195,25.33,87.0,170,DOG,only 1 units in 61 days
CUT,Veg Noodle,WTC,1,175.0,175,,,,,off-brand: Chinese SKUs from another kitchen brand
CUT,Sirka Pyaaz,Sides & Munchies,1,129.0,129,,,,,only 1 units in 61 days
