section_order,section,item_rank,display_name,maps_from,veg,price_inr,badge,flags
6,Breakfast & Eggs,14,Make Your Own Omelette (2 eggs),Mushroom Omelette (2 Egg);Cheese Omelette (2 Egg),egg,119,New,addon-group;needs-macros;omelette-fold-owner-2026-08-15
6,Breakfast & Eggs,15,Bread Omelette — Classic / Masala,Classic Bread Omelette (2 Egg);Masala Bread Omelette (2 Egg),egg,129,,addback;two-variant-one-line
6,Breakfast & Eggs,16,Plain Omelette (2 eggs),Plain Omelette (2 Egg),egg,99,,addon-group;revived-as-modifier-base
6,Breakfast & Eggs,17,Exotic Egg Bhurji (2 eggs),Exotic Egg Bhurji (2 Egg),egg,119,,revived
6,Breakfast & Eggs,18,Classic Vegetable Poha,Classic Vegetable Poha,veg,129,,
6,Breakfast & Eggs,19,Boiled Egg (1 pc),Four Boiled Egg;Two Boiled Egg,egg,15,,per-piece-model
6,Breakfast & Eggs,20,French Omelette (Sweet/Savoury) (2 Egg),French Omelette (Sweet/Savoury) (2 Egg),egg,179,,folded-owner-2026-08-15
7,Pita & Hummus,1,Classic Hummus Pita,Hummus Pita Classic,veg,179,,
7,Pita & Hummus,2,Hummus Pita with Falafel,Hummus Pita With Falafel,veg,219,,fix-first
7,Pita & Hummus,3,Chicken Pita Pocket with Hummus,Chicken Pita Pockets With Hummus,non-veg,249,,
7,Pita & Hummus,4,Falafel Pita Pocket with Hummus,Falafal Pita Pockets With Hummus,veg,219,,
8,Pasta,1,Aglio Olio Pasta,Aglio Olio Millets Pasta (Veg);Aglio Olio Pasta (Veg);Aglio Olio Millets Pasta (Chicken),veg,199,,base-choice;protein-choice-chicken-220;millet-confirm-N1;chicken-239;parity-lift-nb180
8,Pasta,2,Arrabbiata Pasta,Arrabbiata Millets Pasta (Veg);Arrabbiata Pasta (Veg),veg,199,,base-choice;protein-choice-chicken-220;millet-confirm-N1;chicken-239;parity-lift-nb180
8,Pasta,3,Alfredo Pasta,Alfredo Millets Pasta (Veg);Alfredo Pasta (Veg);Alfredo Millets Pasta (Chicken);Alfredo Pasta (Chicken),veg,199,,base-choice;protein-choice-chicken-220;millet-confirm-N1;chicken-239;parity-lift-nb180
8,Pasta,4,Pesto Pasta,Pesto Millets Pasta (Veg);Pesto Pasta (Veg),veg,199,,base-choice;protein-choice-chicken-220;fix-first;millet-confirm-N1;chicken-239;parity-lift-nb180
9,Soups,1,Special Mutton Paya,Mutton Paya Soup,non-veg,199,,
9,Soups,2,Cream of Mushroom Soup,Cream Of Mushroom Soup,veg,149,,addback
9,Soups,3,Hot & Sour Soup,Hot N Sour Soup (Veg);Hot N Sour Soup (Chicken),veg,79,,nv-variant-120;nv-variant-119;band-B1
9,Soups,4,Manchow Soup,Manchow Soup (Veg);Manchow Soup (Chicken),veg,79,,nv-variant-120;nv-variant-119;band-B1
9,Soups,5,Tomato Basil Soup,Tomato Basil Soup,veg,129,,addback;band-B1
9,Soups,6,Pumpkin Soup,Pumpkin Soup,veg,129,New,addback;band-B1
10,Smoothies & Juices,1,Mixed Berry Protein Smoothie,Mix Berry Smoothie ( High Protein),veg,149,,
10,Smoothies & Juices,2,Dates Banana Smoothie,Dates Banana Smoothie,veg,129,,
10,Smoothies & Juices,3,Blueberry Smoothie,Blue Berry Smoothie,veg,149,,
10,Smoothies & Juices,4,Powerhouse Smoothie — Oats & Banana,Power House Smoothie,veg,129,,
10,Smoothies & Juices,5,Peanut Butter Banana Smoothie,Peanut Butter Banana Smoothie,veg,129,,probation
10,Smoothies & Juices,6,Apple Cinnamon Smoothie,Apple Cinnamon Smoothie,veg,149,,revived-P9
10,Smoothies & Juices,7,ABC Juice — Apple Beet Carrot,Abc Juice,veg,129,,section-name-not-detox-P7
10,Smoothies & Juices,8,Watermelon Juice,Hydrating Watermelon Juice,veg,129,,attach
10,Smoothies & Juices,9,Lemon Mint Iced Tea,Lemon Mint Ice Tea,veg,99,,attach
10,Smoothies & Juices,10,Zero-Calorie Mint Mojito,Zero Calorie Mint Mojito,veg,99,,attach
10,Smoothies & Juices,11,Antioxidant Boost Smoothie,Antioxidant Detox,veg,149,,renamed-detox-owner-2026-08-15
11,Desserts,1,Fruity Greek Yogurt,Fruity Greek Yogurt,veg,149,,addback;riser
11,Desserts,2,Ragi & Dates Brownie (eggless),Ragi Dates Eggless Brownie (1) Pc,veg,99,,name-per-P5;per-piece
11,Desserts,3,Tiramisu Box,Healthy Tiramisu Box,veg,179,,addback;renamed
12,Sides & Sips,1,Garlic Bread,Garlic Bread,veg,89,,attach
12,Sides & Sips,2,Sirka Pyaaz,Sirka Pyaaz,veg,49,,attach
12,Sides & Sips,3,Watermelon Mint Cooler,Watermelon Mint Cooler,veg,119,,attach
12,Sides & Sips,4,Aam Panna,Aam Panna,veg,119,,attach
12,Sides & Sips,5,Diet Coke,Diet Coke Can,veg,60,,owner-call-D2;mrp
12,Sides & Sips,6,Thums Up,Thums Up Can;Coke Can,veg,60,,owner-call-D1-keep-one;mrp
13,Off the Wok,1,Chilli Paneer — Dry Tossed,NEW,veg,199,New,needs-macros;needs-cogs;no-plan-pool;no-personalization-boost
13,Off the Wok,2,Chilli Chicken — Dry Tossed,NEW,non-veg,219,New,needs-macros;needs-cogs;no-plan-pool;no-personalization-boost
13,Off the Wok,3,Hakka Noodles — Choose Your Protein,Veg Hakka Noodles;Chicken Hakka Noodles;Paneer Hakka Noodles;Veg Chilli Garlic Noodles;Chicken Noodles;Double Egg Chicken Noodles,veg,149,New,protein-choice-egg-179-chicken-199-paneer-199;needs-macros;needs-cogs;no-plan-pool;no-personalization-boost
13,Off the Wok,4,Wok Fried Rice — Choose Your Protein,Fried Rice Veg;Fried Rice Chicken;Schezwan Chicken Fried Rice,veg,149,New,protein-choice-egg-179-chicken-199;schezwan-sauce-option;needs-macros;needs-cogs;no-plan-pool;no-personalization-boost
13,Off the Wok,5,Lemon Chicken — Dry Tossed,Lemon Chicken Dry,non-veg,219,New,needs-macros;needs-cogs;no-plan-pool;no-personalization-boost
