rank,dish,category,veg,action,code,note,windows,top15_windows,qty,gross,share_pct,avg_price,gross_W1,gross_W2,gross_W3,gross_W4,w1_discount_pct
81,Peri Peri Paneer Rice Bowl,Veg Mexican Rice Bowls,veg,CUT,V,"duplicate of Chilli Chipotle Paneer pair, which outsells it 4:1",4,0,26,8094,0.25,311,4426,1545,1545,578,35.3
155,Chicken Fried Rice (750 Ml [Serves 3- 4]),Non-Veg Rice [WTC],non-veg,CUT,CB,co-brand WTC/WKC SKU on the Tanmatra listing,1,0,2,518,0.02,259,0,0,0,518,
156,Veg Pan Fry Noodles (500 Ml [Serves 1-2]),Veg Noodles [WTC],veg,CUT,CB,co-brand WTC/WKC SKU on the Tanmatra listing,1,0,2,515,0.02,258,0,0,0,515,
122,Guava Chilli Cooler,Coolers [ON],veg,CUT,T,coolers at 1-3 units in peak summer window,4,0,13,2589,0.08,199,567,567,945,510,25.7
158,Mutton Paya,Non Veg Soups [WTC],non-veg,CUT,CB,co-brand WTC/WKC SKU on the Tanmatra listing,1,0,2,500,0.02,250,0,0,0,500,
114,Chia Lemonade Detox,Smoothies,veg,CUT,T,"2 units W4; also ""Detox"" naming violates claim rules",4,0,22,3410,0.1,155,1639,1192,149,430,17
161,Kurkure Veg Momos [6 Pcs],Veg Momos [WTC],veg,CUT,CB,co-brand WTC/WKC SKU on the Tanmatra listing,1,0,2,430,0.01,215,0,0,0,430,
162,Egg Chicken Noodle (500 Ml [Serves 1-2]),Non Veg Noodles [WTC],non-veg,CUT,CB,co-brand WTC/WKC SKU on the Tanmatra listing,1,0,2,418,0.01,209,0,0,0,418,
165,Egg Fried Rice (500 Ml [Serves 1-2]),Non-Veg Rice [WTC],egg,CUT,CB,co-brand WTC/WKC SKU on the Tanmatra listing,1,0,2,398,0.01,199,0,0,0,398,
166,Chicken Hakka Noodles (500 Ml [Serves 1-2]),Non Veg Noodles [WTC],non-veg,CUT,CB,co-brand WTC/WKC SKU on the Tanmatra listing,1,0,2,398,0.01,199,0,0,0,398,
130,Non Veg Quesadilla,Cheesy Quesadillas,veg,CUT,T,1 unit W4; Veg Quesadilla covers the format,2,0,7,1879,0.06,268,0,0,1494,385,
152,Gond Ka Tira Cooler,Coolers [ON],veg,CUT,T,coolers at 1-3 units in peak summer window,2,0,2,599,0.02,300,260,0,0,339,30.4
132,Manchow Soup (Chicken),Soups (O),non-veg,CUT,V,chicken soup variants 1-4 units/window; veg versions cover it,4,0,7,1799,0.06,257,498,498,498,305,33.3
170,Veg Manchurian Gravy (500 Ml [Serves 2]),Veg Main Course [WTC],veg,CUT,CB,co-brand WTC/WKC SKU on the Tanmatra listing,1,0,1,299,0.01,299,0,0,0,299,
172,Veg Manchurian Dry (500 Ml [Serves 2]),Veg Appetizers [WTC],veg,CUT,CB,co-brand WTC/WKC SKU on the Tanmatra listing,1,0,1,289,0.01,289,0,0,0,289,
128,Kiwi Mint Cooler,Coolers [ON],veg,CUT,T,coolers at 1-3 units in peak summer window,4,0,10,1956,0.06,196,945,567,189,255,26.7
175,Chilli Garlic Veg Fried Rice (750 Ml [Serves 3- 4]),Veg Rice [WTC],veg,CUT,CB,co-brand WTC/WKC SKU on the Tanmatra listing,1,0,1,235,0.01,235,0,0,0,235,
177,Chicken Fried Rice (500 Ml [Serves 1-2]),Non-Veg Rice [WTC],non-veg,CUT,CB,co-brand WTC/WKC SKU on the Tanmatra listing,1,0,1,209,0.01,209,0,0,0,209,
181,Chicken Butter Garlic Noodles (500 Ml [Serves 1-2]),Non Veg Noodles [WTC],non-veg,CUT,CB,co-brand WTC/WKC SKU on the Tanmatra listing,1,0,1,199,0.01,199,0,0,0,199,
182,Chilli Garlic Chicken Noodles (500 Ml [Serves 1-2]),Non Veg Noodles [WTC],non-veg,CUT,CB,co-brand WTC/WKC SKU on the Tanmatra listing,1,0,1,199,0.01,199,0,0,0,199,
157,Tomato Basil Omelette (2 Egg),Desserts (O),egg,CUT,V,omelette family trimmed 13->8; these are the weakest four in W4,3,0,3,503,0.02,168,154,154,0,195,50
186,Veg Noodle (500 Ml [Serves 1-2]),Veg Noodles [WTC],veg,CUT,CB,co-brand WTC/WKC SKU on the Tanmatra listing,1,0,1,175,0.01,175,0,0,0,175,
80,Peri Peri Paneer Burrito Wrap,Veg Burrito Wraps,veg,CUT,V,"duplicate of Chilli Chipotle Paneer pair, which outsells it 4:1",3,0,27,8163,0.25,302,4605,1246,2312,0,30.1
102,Pesto Millets Pasta (Chicken),Millets Pasta (O),non-veg,CUT,V,keep one chicken pasta (Alfredo); others 1-9 units lifetime,3,0,14,5166,0.16,369,738,1107,3321,0,26.4
120,Mango Mint Cooler,Coolers [ON],veg,CUT,T,coolers at 1-3 units in peak summer window,3,0,14,2646,0.08,189,1323,756,567,0,26.5
124,Pesto Millets Pasta (Prawns),Millets Pasta (O),non-veg,CUT,V,prawn pasta: 3 units lifetime; kills a cold-chain SKU,2,0,6,2394,0.07,399,0,399,1995,0,
131,Aglio Olio Millets Pasta (Chicken),Millets Pasta (O),non-veg,CUT,V,keep one chicken pasta (Alfredo); others 1-9 units lifetime,3,0,5,1845,0.06,369,738,369,738,0,30.5
140,Hot N Sour Soup (Chicken),Soups (O),non-veg,CUT,V,chicken soup variants 1-4 units/window; veg versions cover it,2,0,6,1494,0.05,249,498,0,996,0,37.7
144,French Toast With Nutella,Healthy Breakfast (O),veg,CUT,OB,Nutella on a macros-first menu; W1-only anyway,1,0,4,1196,0.04,299,1196,0,0,0,30.5
150,Arrabbiata Millets Pasta (Chicken),Millets Pasta (O),non-veg,CUT,V,keep one chicken pasta (Alfredo); others 1-9 units lifetime,2,0,2,738,0.02,369,369,369,0,0,29.6
160,Classic Protein Shake,Coolers [ON],veg,CUT,OB,"W3-only cooler leakage, 1-3 units each",1,0,3,447,0.01,149,0,0,447,0,
163,Arrabbiata Millets Pasta (Prawns),Millets Pasta (O),non-veg,CUT,V,prawn pasta: 3 units lifetime; kills a cold-chain SKU,1,0,1,399,0.01,399,0,399,0,0,
164,Aglio Olio Millets Pasta (Prawns),Millets Pasta (O),non-veg,CUT,V,prawn pasta: 3 units lifetime; kills a cold-chain SKU,1,0,1,399,0.01,399,399,0,0,0,29.8
167,Basa Fish,Non Veg Main Course [WTC],non-veg,CUT,CB,co-brand WTC/WKC SKU on the Tanmatra listing,1,0,1,380,0.01,380,0,0,380,0,
171,Nutella Toast (White Bread),Appetizers,veg,CUT,OB,Nutella on a macros-first menu; W1-only anyway,1,0,2,298,0.01,149,298,0,0,0,10.1
173,Blueberry Shake,Coolers [ON],veg,CUT,OB,"W3-only cooler leakage, 1-3 units each",1,0,2,258,0.01,129,0,0,258,0,
178,Veg Lemon Coriander Soup,Veg Soups [WTC],veg,CUT,CB,co-brand WTC/WKC SKU on the Tanmatra listing,1,0,1,209,0.01,209,0,0,209,0,
180,Arabitta Pasta,Veg Main Course [WTC],veg,CUT,CB,co-brand WTC/WKC SKU on the Tanmatra listing,1,0,1,199,0.01,199,0,0,199,0,
183,Mix Sauce Pasta,Veg Main Course [WTC],veg,CUT,CB,co-brand WTC/WKC SKU on the Tanmatra listing,1,0,1,199,0.01,199,0,0,199,0,
184,Virjin Mojito,Coolers [ON],veg,CUT,OB,"W3-only cooler leakage, 1-3 units each",1,0,2,198,0.01,99,0,0,198,0,
187,Turmeric Tea Latte [WKC],Chai With Milk [WKC],veg,CUT,CB,co-brand WTC/WKC SKU on the Tanmatra listing,1,0,1,169,0.01,169,0,0,169,0,
188,Paneer Tikka Wrap,Veg Burrito Wraps,veg,CUT,OB,Rs149/169 co-brand-priced duplicates of real SKUs,1,0,1,169,0.01,169,0,0,169,0,
189,Mint Honey Cooler,Coolers [ON],veg,CUT,T,coolers at 1-3 units in peak summer window,1,0,1,169,0.01,169,0,169,0,0,
191,Paneer Tikka Sandwich,Healthy Sandwiches,veg,CUT,OB,Rs149/169 co-brand-priced duplicates of real SKUs,1,0,1,149,0,149,0,0,149,0,
193,Chocolate Shake,Coolers [ON],veg,CUT,OB,"W3-only cooler leakage, 1-3 units each",1,0,1,129,0,129,0,0,129,0,
195,Masala Chai [WKC],Chai With Milk [WKC],veg,CUT,CB,co-brand WTC/WKC SKU on the Tanmatra listing,1,0,1,109,0,109,0,0,109,0,
196,Doodh Mein Patti [WKC],Chai With Milk [WKC],veg,CUT,CB,co-brand WTC/WKC SKU on the Tanmatra listing,1,0,1,109,0,109,0,0,109,0,
197,Pine Apple Mojito,Coolers [ON],veg,CUT,OB,"W3-only cooler leakage, 1-3 units each",1,0,1,99,0,99,0,0,99,0,
40,Signature Quinoa Salad,Veg Salads,veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,3,0,55,20507,0.63,373,6273,8118,6116,0,24.6
45,Two Boiled Egg,Desserts (O),egg,DELIST,D,absent from Apr-Jun window - confirm formal delist,3,0,180,18244,0.56,101,5445,6435,6364,0,29
55,Avocado Poched Egg Toast,Healthy Breakfast (O),egg,DELIST,D,absent from Apr-Jun window - confirm formal delist,3,0,48,14564,0.45,303,2691,6578,5295,0,20.3
56,Power Breakfast,Healthy Breakfast (O),egg,DELIST,D,absent from Apr-Jun window - confirm formal delist,3,0,44,13792,0.42,313,4485,4996,4311,0,35.4
58,Exotic Fruit Bowl,Veg Salads,veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,1,1,40,12836,0.39,321,12836,0,0,0,24.7
61,Tanmatra Special Breakfast,Healthy Breakfast (O),veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,3,0,35,12215,0.38,349,6631,3839,1745,0,33.7
62,Grilled Veg Cube Sandwich,Healthy Sandwiches,veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,3,0,48,11952,0.37,249,4980,996,5976,0,26.9
65,Grilled Chicken With Brown Rice And Veggies,Non Veg Meals,non-veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,3,0,25,10725,0.33,429,4290,2145,4290,0,28.5
73,Blueberry Banana Overnight Soaked,Overnight oatmeal bowls (O),veg,DELIST,OA,dead on Zomato; re-evaluate for own-app GLP-1/breakfast pool only,3,0,31,9109,0.28,294,3449,3627,2033,0,26.8
84,Beetroot Ginger Juice,Juices,veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,3,0,37,7844,0.24,212,3604,3180,1060,0,24.1
90,Broccoli Sweetcorn Tomato Salad,Veg Salads,veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,3,0,17,6697,0.21,394,3690,2638,369,0,31
93,Smokey Chicken Salad,Non Veg Salads,non-veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,3,0,20,6300,0.19,315,945,1575,3780,0,41.6
95,Grilled Paneer With Brown Rice And Veggies,Veg Meals,veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,3,0,17,6103,0.19,359,2513,2872,718,0,28.5
103,Quinoa Upma,Millets & Quinoa,veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,3,0,27,5130,0.16,190,1900,1710,1520,0,37.8
104,Greek Veg Salad,Veg Salads,veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,3,0,17,5015,0.15,295,2065,2065,885,0,29.8
107,Roast Chicken Russian (2 Egg),Desserts (O),non-veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,3,0,18,4482,0.14,249,498,1743,2241,0,40.5
108,Greek Chicken Salad,Non Veg Salads,non-veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,3,0,13,4225,0.13,325,2275,1625,325,0,31.4
109,Mr . Breakfast,Healthy Breakfast (O),egg,DELIST,D,absent from Apr-Jun window - confirm formal delist,3,0,12,4188,0.13,349,349,1745,2094,0,38
110,Healthy Breakfast,Healthy Breakfast (O),veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,3,0,12,4188,0.13,349,2443,1396,349,0,33.3
111,Apple Cinnamon Smoothie,Smoothies,veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,3,0,28,4172,0.13,149,894,1937,1341,0,21.9
121,Almond Chicken Salad,Non Veg Salads,non-veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,3,0,8,2600,0.08,325,975,650,975,0,29.7
129,Classic Nachos,Sides & Munchies,veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,3,0,13,1937,0.06,149,745,298,894,0,26.1
133,Chicken Amigos Sandwich,Healthy Sandwiches,non-veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,1,0,6,1794,0.06,299,1794,0,0,0,31.8
135,Chicken Hummus Pita,Appetizers,non-veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,1,0,5,1770,0.05,354,1770,0,0,0,31.1
136,Activated Charcoal Detox,Smoothies,veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,3,0,11,1639,0.05,149,298,894,447,0,28.7
138,Fruity Yogurt,Veg Salads,veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,1,0,5,1575,0.05,315,1575,0,0,0,27.8
143,Veg Amigos Sandwich,Healthy Sandwiches,veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,1,0,5,1245,0.04,249,1245,0,0,0,28.9
147,Chicken Rice Ball,Chicken Mexican Rice Bowls,non-veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,1,0,3,897,0.03,299,0,0,897,0,
149,Exotic Amaranth Blueberry Yogurt,Desserts (O),veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,1,0,3,747,0.02,249,747,0,0,0,33.1
151,Spaghetti With Meatballs,Non Veg Meals,non-veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,1,0,2,638,0.02,319,0,0,638,0,
153,Healthy Whole Wheat Tofu Wrap,Healthy Wraps (O),veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,1,0,2,598,0.02,299,598,0,0,0,40.3
159,Creamy Egg White Sandwich,Healthy Sandwiches,egg,DELIST,D,absent from Apr-Jun window - confirm formal delist,1,0,2,470,0.01,235,470,0,0,0,10
168,Lebanese Hummus Salad,Veg Salads,veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,1,0,1,325,0.01,325,325,0,0,0,33.3
169,Chickpea & Peanut Tabbouleh Salad,Veg Salads,veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,1,0,1,305,0.01,305,305,0,0,0,23.4
174,Paneer Parath,Appetizers,veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,1,0,3,237,0.01,79,0,0,237,0,
176,Crispy Peri Peri Mushroom Pita Pocket,Pita Pockets,veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,1,0,1,219,0.01,219,0,0,219,0,
179,Millets Bread Loaf,Millets & Quinoa,veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,1,0,1,200,0.01,200,200,0,0,0,26.7
185,Brownie,Desserts (O),veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,1,0,2,198,0.01,99,0,0,198,0,
190,Loaded Garlic Bread,Appetizers,veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,1,0,1,159,0,159,0,0,159,0,
192,Peri Peri Fries,Sides & Munchies,veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,1,0,2,138,0,69,0,0,138,0,
194,Vegetable Maggi,Healthy Breakfast (O),veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,1,0,2,118,0,59,0,0,118,0,
198,Cheese Maggi,Appetizers,veg,DELIST,D,absent from Apr-Jun window - confirm formal delist,1,0,1,79,0,79,0,0,79,0,
1,Grilled Chicken With Sautéed Vegetable And Mash Potato High Protein,Non Veg Meals,non-veg,KEEP-A,A,,4,4,603,200283,6.16,332,45614,32571,66224,55874,24.6
17,Barbeque Chicken Burrito Wrap,Chicken Burrito Wraps,non-veg,KEEP-A,A,,4,1,161,55441,1.71,344,5882,3280,3549,42730,25.3
6,Healthy Whole Wheat Chicken Tikka Wrap,Healthy Wraps (O),non-veg,KEEP-A,A,,4,4,339,109180,3.36,322,31555,15079,27229,35317,28.2
16,Paneer Tikka Burrito Wrap,Veg Burrito Wraps,veg,KEEP-A,A,,4,2,219,66153,2.04,302,19306,5163,6409,35275,25.7
4,Falafel Garden Salad,Veg Salads,veg,KEEP-A,A,,4,3,454,128970,3.97,284,10049,45461,43748,29712,27.6
3,Grilled Chicken Breast [Single Serve],Appetizers,non-veg,KEEP-A,A,,4,4,387,140146,4.31,362,24984,30355,55887,28920,25.7
11,Barbeque Grilled Chicken Rice Bowl,Chicken Mexican Rice Bowls,non-veg,KEEP-A,A,,4,3,217,76157,2.34,351,14877,20082,17260,23938,27.4
5,Avocado Toast,Appetizers,veg,KEEP-A,A,,4,4,355,110322,3.39,311,36820,23855,26271,23376,29.9
14,Chipotle Grilled Chicken Rice Bowl,Chicken Mexican Rice Bowls,non-veg,KEEP-A,A,,4,2,197,68093,2.1,346,16203,15018,15157,21715,31.4
9,(2 Pc) Moong Dal Chilla With Curd,Desserts (O),veg,KEEP-A,A,,4,3,491,99711,3.07,203,30845,13930,37014,17922,28
2,Grilled Veggie Sandwich With Ranch Yoghurt,Healthy Sandwiches,veg,KEEP-A,F,FIX-FIRST: root-cause the W4 collapse before pooling,4,4,688,174752,5.38,254,23218,63609,70157,17768,26.3
25,Boiled 3 Egg With Sautéed Veggies,Desserts (O),egg,KEEP-A,A,,4,1,153,36367,1.12,238,3984,7221,7645,17517,24.7
28,High Protein Chicken Omelette (2 Egg),Desserts (O),non-veg,KEEP-A,A,,4,1,113,28147,0.87,249,4144,2590,4144,17269,23.6
12,Chilli Chipotle Paneer Burrito Wrap,Veg Burrito Wraps,veg,KEEP-A,A,,4,3,238,75092,2.31,316,3020,27628,27946,16498,27.5
51,Stuffed Chicken With Mashed Potato & Sautéed Green Beans,Non Veg Meals,non-veg,KEEP-A,NP,"new launch, instant traction",1,1,36,15804,0.49,439,0,0,0,15804,
7,Crispy Mushroom Burrito Wrap,Veg Burrito Wraps,veg,KEEP-A,F,FIX-FIRST: root-cause the W4 collapse before pooling,4,2,355,102745,3.16,289,12645,34116,40334,15650,29.1
8,Chilli Chipotle Paneer Rice Bowl,Veg Mexican Rice Bowls,veg,KEEP-A,A,,4,3,319,101373,3.12,318,37721,20904,27244,15504,25.8
22,Boiled Chicken Breast [Single Serve],Appetizers,non-veg,KEEP-A,A,,4,1,140,39685,1.22,283,2183,5022,17343,15137,26.1
10,Hummus Pita Classic,Appetizers,veg,KEEP-A,A,,4,2,356,91055,2.8,256,10397,30436,35512,14710,29.5
44,Mutton Paya Soup,Soups (O),non-veg,KEEP-A,A,,2,0,58,19225,0.59,331,0,0,5750,13475,
23,English Breakfast,Healthy Breakfast (O),egg,KEEP-A,A,,4,0,102,36786,1.13,361,6631,7329,10121,12705,32.3
37,Grilled Paneer With Sauteed Veggies,Veg Meals,veg,KEEP-A,A,,4,0,80,23828,0.73,298,6463,3243,1645,12477,29.9
13,Mix Berry Smoothie ( High Protein),Smoothies,veg,KEEP-A,A,,4,2,291,69346,2.13,238,25466,22610,10710,10560,27
41,Smoked Chicken Cheese Omelette (2 Egg),Desserts (O),non-veg,KEEP-A,A,,4,0,71,20135,0.62,284,3486,2988,3486,10175,25.1
32,Spinach Mushroom Omelette (2 Egg),Desserts (O),egg,KEEP-A,A,,4,0,120,25860,0.8,216,4776,5771,5970,9343,21.7
20,Grilled Chicken Club Sandwich,Healthy Sandwiches,non-veg,KEEP-A,A,,4,0,141,44679,1.37,317,9481,10079,16146,8973,28.8
47,Broccoli Lemon Chicken Salad,Non Veg Salads,non-veg,KEEP-A,A,,4,0,50,17550,0.54,351,2632,1974,4606,8338,32.2
15,Chicken Tikka Sandwich With Ranch Yoghurt,Healthy Sandwiches,non-veg,KEEP-A,F,FIX-FIRST: root-cause the W4 collapse before pooling,4,3,217,66218,2.04,305,18329,19779,20245,7865,22.9
85,Classic French Toast With Butter,Healthy Breakfast (O),veg,KEEP-A,NP,"new launch, instant traction",1,0,30,7470,0.23,249,0,0,0,7470,
33,Cream Of Mushroom Soup,Soups (O),veg,KEEP-A,A,,4,0,101,25495,0.78,252,5170,3760,9635,6930,30.2
18,Healthy Whole Wheat Paneer Wrap,Healthy Wraps (O),veg,KEEP-A,F,FIX-FIRST: root-cause the W4 collapse before pooling,4,2,168,51599,1.59,307,16534,15292,13263,6510,28.7
94,Roasted Vegetable Quinoa Salad,Veg Salads,veg,KEEP-A,NP,"new launch, instant traction",1,0,19,6175,0.19,325,0,0,0,6175,
97,Four Boiled Egg,Healthy Breakfast (O),egg,KEEP-A,NP,"new launch, instant traction",1,0,36,6020,0.19,167,0,0,0,6020,
31,Grilled Paneer Sandwich With Ranch Yoghurt,Healthy Sandwiches,veg,KEEP-A,A,,4,0,93,26182,0.81,282,6725,4773,9684,5000,30.1
34,Falafal Hummus Wrap,Healthy Wraps (O),veg,KEEP-A,A,,4,0,90,25166,0.77,280,7652,3846,8848,4820,27.8
27,Chipotle Chicken Burrito Wrap,Chicken Burrito Wraps,non-veg,KEEP-A,A,,4,0,86,28984,0.89,337,10927,8325,5215,4517,28.1
29,Fruity Sprout Salad,Veg Salads,veg,KEEP-A,A,,4,0,82,27222,0.84,332,8436,8337,6599,3850,28.5
26,Crispy Mushroom Rice Bowl,Veg Mexican Rice Bowls,veg,KEEP-A,F,FIX-FIRST: root-cause the W4 collapse before pooling,4,0,96,29592,0.91,308,12328,5662,7754,3848,22.9
19,Crispy Peri Peri Mushroom Rice Bowl,Veg Mexican Rice Bowls,veg,KEEP-A,F,FIX-FIRST: root-cause the W4 collapse before pooling,4,1,164,48536,1.49,296,12197,9559,23000,3780,25.3
24,Hummus Pita With Falafel,Appetizers,veg,KEEP-A,F,FIX-FIRST: root-cause the W4 collapse before pooling,4,1,116,36520,1.12,315,16846,8170,8399,3105,27.5
21,Pesto Millets Pasta (Veg),Millets Pasta (O),veg,KEEP-A,F,FIX-FIRST: root-cause the W4 collapse before pooling,4,2,139,44245,1.36,318,3190,16907,22968,1180,28.1
30,Crispy Peri Peri Chicken Rice Bowl,Chicken Mexican Rice Bowls,non-veg,KEEP-A,F,FIX-FIRST: root-cause the W4 collapse before pooling,4,0,78,27222,0.84,349,11227,9513,5454,1028,24.9
83,Fruity Greek Yogurt,Desserts (O),veg,KEEP-B,B,,2,0,42,7922,0.24,189,0,0,952,6970,
54,Chicken Pita Pockets With Hummus,Pita Pockets,non-veg,KEEP-B,B,,4,0,47,14587,0.45,310,3884,987,2961,6755,25.4
39,Barbeque Paneer Rice Bowl,Veg Mexican Rice Bowls,veg,KEEP-B,B,,4,0,61,20509,0.63,336,5763,3928,4775,6043,34.3
38,Quinoa Khichdi,Millets & Quinoa,veg,KEEP-B,B,,4,0,121,21280,0.65,176,5130,3420,7220,5510,24.5
60,Grilled Paneer Salad,Veg Salads,veg,KEEP-B,B,,4,0,38,12250,0.38,322,2680,2345,2345,4880,28.7
36,Chicken Caesar Story Salad,Non Veg Salads,non-veg,KEEP-B,B,,4,0,70,23850,0.73,341,9425,5200,4437,4788,27.3
35,Veg Loaded Bread Omelette (2 Egg),Desserts (O),egg,KEEP-B,B,,4,0,152,24392,0.75,160,5406,5883,8321,4782,31
69,Mushroom Omelette (2 Egg),Desserts (O),egg,KEEP-B,B,,4,0,43,9863,0.3,229,1701,1890,2268,4004,28.1
82,Abc Juice,Juices,veg,KEEP-B,B,,2,0,65,8019,0.25,123,0,0,4059,3960,
46,Aglio Olio Millets Pasta (Veg),Millets Pasta (O),veg,KEEP-B,B,,4,0,58,18190,0.56,314,6380,4466,3509,3835,30.8
53,Classic Bread Omelette (2 Egg),Desserts (O),egg,KEEP-B,B,,4,0,93,14957,0.46,161,3129,3427,4619,3782,31.1
76,French Omelette (Sweet/Savoury) (2 Egg),Desserts (O),egg,KEEP-B,B,,4,0,47,8503,0.26,181,1639,2086,1043,3735,25.9
42,Classic Vegetable Poha,Sides & Munchies,veg,KEEP-B,B,,4,0,96,19376,0.6,202,3781,6965,4975,3655,30.9
101,Healthy Tiramisu Box,Desserts (O),veg,KEEP-B,B,,2,0,29,5355,0.16,185,0,0,1785,3570,
49,Arrabbiata Millets Pasta (Veg),Millets Pasta (O),veg,KEEP-B,B,,4,0,55,16713,0.51,304,5742,2871,4785,3315,26.2
64,Ragi Dates Eggless Brownie (1) Pc,Desserts (O),egg,KEEP-B,B,,4,0,116,10810,0.33,93,1600,1840,4080,3290,36.2
117,Grilled Veg Club Sandwich,Healthy Sandwiches,veg,KEEP-B,NW,"new launch, early traction - review next window",1,0,11,3145,0.1,286,0,0,0,3145,
48,Dates Banana Smoothie,Smoothies,veg,KEEP-B,B,,4,0,111,17499,0.54,158,5513,4172,5215,2599,28
68,Cheese Omelette (2 Egg),Healthy Breakfast (O),egg,KEEP-B,B,,4,0,55,10177,0.31,185,1183,2704,3986,2304,27
126,Spinach & Corn Sandwich,Healthy Sandwiches,veg,KEEP-B,NW,"new launch, early traction - review next window",1,0,8,2250,0.07,281,0,0,0,2250,
57,Masala Bread Omelette (2 Egg),Desserts (O),egg,KEEP-B,B,,4,0,85,13275,0.41,156,2533,2831,5741,2170,26.8
50,Blue Berry Smoothie,Smoothies,veg,KEEP-B,B,,4,0,103,16547,0.51,161,5662,5066,3725,2094,25.4
52,Tomato Basil Soup,Soups (O),veg,KEEP-B,B,,4,0,60,15576,0.48,260,1855,5300,6360,2061,27.7
63,Falafal Pita Pockets With Hummus,Pita Pockets,veg,KEEP-B,B,,4,0,36,11106,0.34,308,5333,2023,1824,1926,25.8
43,Grilled Chicken Salad,Non Veg Salads,non-veg,KEEP-B,F,fading - watch,4,0,56,19236,0.59,344,8224,6062,3250,1700,25.3
