section,display_name,live_slug,status,provenance,matched_via,note
Wraps & Burritos,Paneer Wrap (Whole Wheat),healthy-whole-wheat-paneer-wrap,MATCH,STATIC-SEED,Healthy Whole Wheat Paneer Wrap,
Sandwiches,Grilled Veggie Sandwich with Ranch Yoghurt,grilled-veggie-sandwich-ranch-yoghurt,MATCH,STATIC-SEED,Grilled Veggie Sandwich with Ranch Yoghurt,
Sandwiches,Grilled Chicken Club Sandwich,grilled-chicken-club-sandwich,MATCH,POS-DERIVED,Grilled Chicken Club Sandwich,
Sandwiches,Chicken Tikka Sandwich with Ranch Yoghurt,chicken-tikka-sandwich-with-ranch-yoghurt,MATCH,STATIC-SEED,Chicken Tikka Sandwich with Ranch Yoghurt,
Sandwiches,Grilled Paneer Sandwich with Ranch Yoghurt,grilled-paneer-sandwich-with-ranch-yoghurt,MATCH,POS-DERIVED,Grilled Paneer Sandwich with Ranch Yoghurt,
Sandwiches,Grilled Veg Club Sandwich,grilled-veg-club-sandwich,MATCH,POS-DERIVED,Grilled Veg Club Sandwich,
Sandwiches,Spinach & Corn Sandwich,,ABSENT-CREATE,CREATE,,
Sandwiches,Mushroom & Caramelised Onion Sandwich,mushroom-caramelised-onion-sandwich,MATCH,POS-DERIVED,Mushroom & Caramelised Onion Sandwich,
Salads,Falafel Garden Salad,falafel-garden-salad,MATCH,STATIC-SEED,Falafel Garden Salad,
Salads,Broccoli Lemon Chicken Salad,broccoli-lemon-chicken-salad,MATCH,STATIC-SEED,Broccoli Lemon Chicken Salad,
Salads,Chicken Caesar Salad,chicken-caesar-story-salad,MATCH,STATIC-SEED,Chicken Caesar Story Salad,
Salads,Grilled Paneer Salad,grilled-paneer-salad,MATCH,POS-DERIVED,Grilled Paneer Salad,
Salads,Roasted Veg Quinoa Salad,roasted-vegetable-quinoa-salad,MATCH,POS-DERIVED,Roasted Vegetable Quinoa Salad,
Salads,Fruity Sprout Salad,fruity-sprout-salad,MATCH,STATIC-SEED,Fruity Sprout Salad,
Salads,Edamame & Corn Salad,,NEW,CREATE,,
Salads,Grilled Chicken Salad,grilled-chicken-salad,MATCH,POS-DERIVED,Grilled Chicken Salad,
Salads,Veg Caesar Salad,veg-caesar-story-salad,MATCH,STATIC-SEED,Veg Caesar Story Salad,
Breakfast & Eggs,Avocado Toast,avocado-toast,MATCH,STATIC-SEED,Avocado Toast,
Breakfast & Eggs,Avocado Toast with Sunny Side Up (2 pc),avocado-toast-with-sunny-side-up,MATCH-CONFIRMED-FUZZY,STATIC-SEED,FUZZY 0.95 ~ Avocado Toast with Sunny Side Up,confirmed: static seed slug
Breakfast & Eggs,Moong Dal Chilla with Curd (2 pc),moong-dal-chilla-with-curd,MATCH,STATIC-SEED,Moong Dal Chilla With Curd,
Breakfast & Eggs,3 Boiled Eggs with Sautéed Veggies,boiled-3-egg-with-saut-ed-veggies,MATCH,POS-DERIVED,Boiled 3 Egg With Sautéed Veggies,
Breakfast & Eggs,High Protein Chicken Omelette (2 eggs),high-protein-chicken-omelette,MATCH-CONFIRMED-FUZZY,STATIC-SEED,FUZZY 0.93 ~ High Protein Chicken Omelette,confirmed: static seed slug
Breakfast & Eggs,English Breakfast,english-breakfast,MATCH,POS-DERIVED,English Breakfast,
Breakfast & Eggs,Smoked Chicken & Cheese Omelette,smoked-chicken-cheese-omelette,MATCH,STATIC-SEED,Smoked Chicken & Cheese Omelette,
Breakfast & Eggs,Classic French Toast with Butter,classic-french-toast-with-butter,MATCH,POS-DERIVED,Classic French Toast with Butter,
Breakfast & Eggs,Turkish Eggs — Çılbır (2 pc),,NEW,CREATE,,
Breakfast & Eggs,Egg Oats Banana Pancakes (4 pc),,ABSENT-CREATE,CREATE,,
Breakfast & Eggs,Spinach Mushroom Omelette (2 eggs),spinach-mushroom-omelette,MATCH-CONFIRMED-FUZZY,STATIC-SEED,FUZZY 0.92 ~ Spinach Mushroom Omelette,confirmed: static seed slug
Breakfast & Eggs,Veg Loaded Omelette (2 eggs),veg-loaded-bread-omelette-2-egg,MATCH,STATIC-SEED,Veg Loaded Bread Omelette (2 Egg),
Breakfast & Eggs,Egg Shakshuka,,ABSENT-CREATE,CREATE,,
Breakfast & Eggs,Make Your Own Omelette (2 eggs),,NEW,CREATE,,
Breakfast & Eggs,Bread Omelette — Classic / Masala,classic-bread-omelette-2-egg,MATCH,STATIC-SEED,Classic Bread Omelette (2 Egg),
Breakfast & Eggs,Plain Omelette (2 eggs),plain-omelette,MATCH-CONFIRMED-FUZZY,STATIC-SEED,FUZZY 0.87 ~ Plain Omelette,confirmed: static seed slug
Breakfast & Eggs,Exotic Egg Bhurji (2 eggs),exotic-egg-bhurji,MATCH-CONFIRMED-FUZZY,STATIC-SEED,FUZZY 0.88 ~ Exotic Egg Bhurji,confirmed: static seed slug
Breakfast & Eggs,Classic Vegetable Poha,classic-vegetable-poha,MATCH,STATIC-SEED,Classic Vegetable Poha,
Breakfast & Eggs,Boiled Egg (1 pc),four-boiled-egg,MATCH,POS-DERIVED,Four Boiled Egg,
Pita & Hummus,Classic Hummus Pita,hummus-pita-classic,MATCH,STATIC-SEED,Hummus Pita Classic,
Pita & Hummus,Hummus Pita with Falafel,hummus-pita-with-falafel,MATCH,STATIC-SEED,Hummus Pita with Falafel,
Pita & Hummus,Chicken Pita Pocket with Hummus,chicken-pita-pockets-with-hummus,MATCH,STATIC-SEED,Chicken Pita Pockets With Hummus,
Pita & Hummus,Falafel Pita Pocket with Hummus,falafal-pita-pockets-with-hummus,MATCH,STATIC-SEED,Falafal Pita Pockets With Hummus,
Pasta,Aglio Olio Pasta,aglio-olio-pasta-v,MATCH-CONFIRMED-FUZZY,DB-ONLY,FUZZY 0.97 ~ Aglio Olio Pasta V,confirmed: db-only row; name/slug semantically consistent
Pasta,Arrabbiata Pasta,arrabbiata-veg,MATCH,STATIC-SEED,manual: veg variant,
Pasta,Alfredo Pasta,alfredo-pasta-veg,MATCH,STATIC-SEED,Alfredo Pasta (Veg),
Pasta,Pesto Pasta,pesto-pasta-veg,MATCH,STATIC-SEED,Pesto Pasta (Veg),
Soups,Special Mutton Paya,mutton-paya-soup,MATCH,POS-DERIVED,Mutton Paya Soup,
Soups,Cream of Mushroom Soup,cream-of-mushroom,MATCH-CONFIRMED-FUZZY,STATIC-SEED,FUZZY 0.88 ~ Cream of Mushroom,confirmed: static seed slug
Soups,Hot & Sour Soup,hot-n-sour-soup-veg,MATCH,STATIC-SEED,Hot N Sour Soup (Veg),
Soups,Manchow Soup,manchow-soup-veg,MATCH,STATIC-SEED,Manchow Soup (Veg),
Soups,Tomato Basil Soup,tomato-basil-soup,MATCH,STATIC-SEED,Tomato Basil Soup,
Soups,Pumpkin Soup,,ABSENT-CREATE,CREATE,,
Smoothies & Juices,Mixed Berry Protein Smoothie,mix-berry-smoothie-high-protein,MATCH,POS-DERIVED,Mix Berry Smoothie ( High Protein),
Smoothies & Juices,Dates Banana Smoothie,dates-banana-smoothie,MATCH,STATIC-SEED,Dates Banana Smoothie,
Smoothies & Juices,Blueberry Smoothie,blueberry-smoothie,MATCH,STATIC-SEED,Blueberry Smoothie,
Smoothies & Juices,Powerhouse Smoothie — Oats & Banana,power-house-smoothie,MATCH,STATIC-SEED,Power House Smoothie,
Smoothies & Juices,Peanut Butter Banana Smoothie,peanut-butter-banana-smoothie,MATCH,STATIC-SEED,Peanut Butter Banana Smoothie,
Smoothies & Juices,Apple Cinnamon Smoothie,apple-cinnamon-smoothie,MATCH,STATIC-SEED,Apple Cinnamon Smoothie,
Smoothies & Juices,ABC Juice — Apple Beet Carrot,abc-juice,MATCH,POS-DERIVED,Abc Juice,
Smoothies & Juices,Watermelon Juice,hydrating-watermelon-juice,MATCH,STATIC-SEED,Hydrating Watermelon Juice,
Smoothies & Juices,Lemon Mint Iced Tea,lemon-mint-ice-tea-smoothie,MATCH-CONFIRMED-FUZZY,STATIC-SEED,FUZZY 0.79 ~ Lemon Mint Ice Tea Smoothie,confirmed: static seed slug
Smoothies & Juices,Zero-Calorie Mint Mojito,zero-calorie-mint-mojito,MATCH,STATIC-SEED,Zero-Calorie Mint Mojito,
Desserts,Fruity Greek Yogurt,fruity-greek-yogurt,MATCH,POS-DERIVED,Fruity Greek Yogurt,
Desserts,Ragi & Dates Brownie (eggless),ragi-dates-eggless-brownie,MATCH-CONFIRMED-FUZZY,DB-ONLY,FUZZY 0.94 ~ Ragi Dates Eggless Brownie,confirmed: db-only row; name/slug semantically consistent
Desserts,Tiramisu Box,healthy-tiramisu-box,MATCH,POS-DERIVED,Healthy Tiramisu Box,
Sides & Sips,Garlic Bread,garlic-bread,MATCH,POS-DERIVED,Garlic Bread,
Sides & Sips,Sirka Pyaaz,,ABSENT-CREATE,CREATE,,
Sides & Sips,Watermelon Mint Cooler,watermelon-mint-cooler,MATCH,POS-DERIVED,Watermelon Mint Cooler,
Sides & Sips,Aam Panna,aam-panna,MATCH,POS-DERIVED,Aam Panna,
Sides & Sips,Diet Coke,diet-coke-can,MATCH,STATIC-SEED,Diet Coke Can,
Sides & Sips,Thums Up,thums-up-can,MATCH,STATIC-SEED,Thums Up Can,
Off the Wok,Chilli Paneer — Dry Tossed,,NEW,CREATE,,
Off the Wok,Chilli Chicken — Dry Tossed,,NEW,CREATE,,
Off the Wok,Hakka Noodles — Choose Your Protein,,ABSENT-CREATE,CREATE,,
Off the Wok,Wok Fried Rice — Choose Your Protein,,ABSENT-CREATE,CREATE,,
Off the Wok,Lemon Chicken — Dry Tossed,,ABSENT-CREATE,CREATE,,
Breakfast & Eggs,French Omelette (Sweet/Savoury) (2 Egg),french-omelette-sweet-savoury,MATCH,PROD-CONFIRMED,French Omelette (Sweet/Savoury),"Owner ruling 2026-08-15: fold ungoverned KEEP-B into payload (§12.4). CORRECTED 2026-08-15 from the slugify guess french-omelette-sweet-savoury-2-egg: the first production plan run blocked on it as missingExpected — exactly the fail-safe this row was marked MATCH for. Real live slug confirmed against /api/menu/public; live display name carries no (2 Egg) suffix."
Wraps & Burritos,Veg Quesadilla,,NEW,PAYLOAD-NEW,,"Owner ruling 2026-08-15: fold ungoverned KEEP-C into payload (§12.4). CORRECTED 2026-08-15 from MATCH/veg-quesadilla: the first production plan run blocked on it as missingExpected, and a direct search of the live catalog found no quesadilla row under any slug or name. It is genuinely absent, so this is a create, not a rename."
Smoothies & Juices,Antioxidant Boost Smoothie,antioxidant-detox,MATCH,POS-DERIVED,Antioxidant Detox,Owner ruling 2026-08-15: rename to drop the banned claim word "Detox" (§12.3; the evidence CSV's own note already flagged RENAME required). Slug identity (antioxidant-detox) is unchanged — only display_name moves, per R-1's curated-column model.
